standard_id,level_count,broken_cells,align_score,gate_status,reason
[10공영1-01-01],5,0,0.5,usable,
[10공영1-01-02],5,0,0.6,usable,
[10공영1-01-03],5,0,0.8888888888888888,usable,
[10공영1-01-04],5,0,0.625,usable,
[10공영1-01-05],5,0,0.8571428571428571,usable,
[10공영1-01-06],5,0,0.6666666666666666,usable,
[10공영1-01-07],5,0,0.8571428571428571,usable,
[10공영1-01-08],3,0,,incomplete,A~E 중 3단계만 있음
[10공영1-02-01],5,0,0.875,usable,
[10공영1-02-02],5,0,0.8333333333333334,usable,
[10공영1-02-03],5,0,0.8,usable,
[10공영1-02-04],5,0,0.8571428571428571,usable,
[10공영1-02-05],5,0,0.8333333333333334,usable,
[10공영1-02-06],5,0,0.8333333333333334,usable,
[10공영1-02-07],5,0,0.9,usable,
[10공영1-02-08],3,0,,incomplete,A~E 중 3단계만 있음
[10공영2-01-01],5,0,0.5,usable,
[10공영2-01-02],5,0,0.6,usable,
[10공영2-01-03],5,0,0.875,usable,
[10공영2-01-04],5,0,0.625,usable,
[10공영2-01-05],5,0,0.8571428571428571,usable,
[10공영2-01-06],5,0,0.6666666666666666,usable,
[10공영2-01-07],5,0,0.6666666666666666,usable,
[10공영2-01-08],5,0,0.8571428571428571,usable,
[10공영2-02-01],5,0,0.875,usable,
[10공영2-02-02],5,0,0.8333333333333334,usable,
[10공영2-02-03],5,0,0.8,usable,
[10공영2-02-04],5,0,0.8571428571428571,usable,
[10공영2-02-05],5,0,0.6666666666666666,usable,
[10공영2-02-06],5,0,0.8571428571428571,usable,
[10공영2-02-07],5,0,0.8333333333333334,usable,
[10공영2-02-08],5,0,0.9,usable,
[10공영2-02-09],3,0,,incomplete,A~E 중 3단계만 있음
[10기영1-01-01],5,0,0.6,usable,
[10기영1-01-02],5,0,0.6,usable,
[10기영1-01-03],5,0,0.8571428571428571,usable,
[10기영1-01-04],5,0,0.8571428571428571,usable,
[10기영1-01-05],5,0,0.625,usable,
[10기영1-01-06],5,0,0.6666666666666666,usable,
[10기영1-01-07],5,0,0.42857142857142855,usable,
[10기영1-01-08],3,0,,incomplete,A~E 중 3단계만 있음
[10기영1-02-01],5,0,0.8888888888888888,usable,
