source_id,title,url,publisher,format,license,curriculum_version,commercial_ok,local_path,notes
ncic_2022_eng_10003794,[별책14] 영어과 교육과정.pdf,https://ncic.re.kr/inv/org/download.do?year=2022&seq=10003794&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2022,1,data\sources\2022_초등학교(2022.12)_[별책14]_영어과_교육과정.pdf,초등학교(2022.12) 영어
ncic_2022_eng_10003795,[별책14] 영어과 교육과정.hwp,https://ncic.re.kr/inv/org/download.do?year=2022&seq=10003795&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2022,1,data\sources\2022_초등학교(2022.12)_[별책14]_영어과_교육과정.hwp,초등학교(2022.12) 영어
ncic_2022_eng_10003602,[별책14] 영어과 교육과정.pdf,https://ncic.re.kr/inv/org/download.do?year=2022&seq=10003602&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2022,1,data\sources\2022_중학교(2022.12)_[별책14]_영어과_교육과정.pdf,중학교(2022.12) 영어
ncic_2022_eng_10003603,[별책14] 영어과 교육과정.hwp,https://ncic.re.kr/inv/org/download.do?year=2022&seq=10003603&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2022,1,data\sources\2022_중학교(2022.12)_[별책14]_영어과_교육과정.hwp,중학교(2022.12) 영어
ncic_2022_eng_10003673,[별책14] 영어과 교육과정.pdf,https://ncic.re.kr/inv/org/download.do?year=2022&seq=10003673&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2022,1,data\sources\2022_고등학교(2022.12)_[별책14]_영어과_교육과정.pdf,고등학교(2022.12) 영어
ncic_2022_eng_10003674,[별책14] 영어과 교육과정.hwp,https://ncic.re.kr/inv/org/download.do?year=2022&seq=10003674&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2022,1,data\sources\2022_고등학교(2022.12)_[별책14]_영어과_교육과정.hwp,고등학교(2022.12) 영어
ncic_2022_eng_10004085,(2022개정)초·중등학교교육과정[별책14]영어과_국가교육위원회고시제2024-3호(2024.08.16.).pdf,https://ncic.re.kr/inv/org/download.do?year=2024&seq=10004085&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2022,1,data\sources\2022_초ㆍ중등학교(2024.08)_(2022개정)초·중등학교교육과정[별책14]영어과_국가교육위원회고시제2024-3호(2024.08.16.).pdf,초ㆍ중등학교(2024.08) 영어
ncic_2022_eng_10003996,(2022개정) 초·중등학교 교육과정 [별책14] 영어과_ 국가교육위원회 고시 제2024-3호(2024.08.16.).hwp,https://ncic.re.kr/inv/org/download.do?year=2024&seq=10003996&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2022,1,data\sources\2022_초ㆍ중등학교(2024.08)_(2022개정)_초·중등학교_교육과정_[별책14]_영어과__국가교육위원회_고시_제2024-3호(2024.08.16.).hwp,초ㆍ중등학교(2024.08) 영어
ncic_2015_eng_10003039,별책14 영어과 교육과정(제2015-74호)수정171205.pdf,https://ncic.re.kr/inv/org/download.do?year=2015&seq=10003039&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2015,1,data\sources\2015_초등학교(2015.09)_별책14_영어과_교육과정(제2015-74호)수정171205.pdf,초등학교(2015.09) 영어
ncic_2015_eng_10003046,별책14 영어과 교육과정(제2015-74호)수정171205.hwp,https://ncic.re.kr/inv/org/download.do?year=2015&seq=10003046&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2015,1,data\sources\2015_초등학교(2015.09)_별책14_영어과_교육과정(제2015-74호)수정171205.hwp,초등학교(2015.09) 영어
ncic_2015_eng_10003041,별책14 영어과 교육과정(제2015-74호)수정171205.pdf,https://ncic.re.kr/inv/org/download.do?year=2015&seq=10003041&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2015,1,data\sources\2015_중학교(2015.09)_별책14_영어과_교육과정(제2015-74호)수정171205.pdf,중학교(2015.09) 영어
ncic_2015_eng_10003047,별책14 영어과 교육과정(제2015-74호)수정171205.hwp,https://ncic.re.kr/inv/org/download.do?year=2015&seq=10003047&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2015,1,data\sources\2015_중학교(2015.09)_별책14_영어과_교육과정(제2015-74호)수정171205.hwp,중학교(2015.09) 영어
ncic_2015_eng_10003043,별책14 영어과 교육과정(제2015-74호)수정171205.pdf,https://ncic.re.kr/inv/org/download.do?year=2015&seq=10003043&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2015,1,data\sources\2015_고등학교(2015.09)_별책14_영어과_교육과정(제2015-74호)수정171205.pdf,고등학교(2015.09) 영어
ncic_2015_eng_10003048,별책14 영어과 교육과정(제2015-74호)수정171205.hwp,https://ncic.re.kr/inv/org/download.do?year=2015&seq=10003048&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2015,1,data\sources\2015_고등학교(2015.09)_별책14_영어과_교육과정(제2015-74호)수정171205.hwp,고등학교(2015.09) 영어
ncic_2015_eng_10004208,별책14 영어과 교육과정(제2020-255호).pdf,https://ncic.re.kr/inv/org/download.do?year=2020&seq=10004208&orgType=ogi4,교육부/NCIC,pdf,kogl_type1_or_gazette_free,2015,1,data\sources\2015_고등학교(2020.04)_별책14_영어과_교육과정(제2020-255호).pdf,고등학교(2020.04) 영어
ncic_2015_eng_10004207,별책14 영어과 교육과정(제2020-255호).hwp,https://ncic.re.kr/inv/org/download.do?year=2020&seq=10004207&orgType=ogi4,교육부/NCIC,hwp,kogl_type1_or_gazette_free,2015,1,data\sources\2015_고등학교(2020.04)_별책14_영어과_교육과정(제2020-255호).hwp,고등학교(2020.04) 영어
